user_id,event_name,event_time,platform,acquisition_source
177,purchase,5/27/2025,web,seo
186,activate,2/13/2025,web,paid
78,activate,5/15/2025,ios,organic
140,login,12/6/2025,ios,seo
10,signup,12/10/2025,android,seo
138,activate,11/23/2025,web,seo
94,activate,3/25/2025,web,paid
68,signup,3/10/2025,ios,paid
44,purchase,8/13/2025,ios,seo
94,purchase,12/5/2025,web,paid
66,purchase,1/30/2025,web,paid
14,activate,1/18/2026,ios,seo
48,signup,9/12/2025,web,organic
190,purchase,6/9/2025,ios,organic
200,purchase,11/3/2025,android,paid
12,login,4/22/2025,web,organic
80,login,3/13/2025,ios,seo
183,activate,2/17/2025,web,paid
174,login,7/31/2025,web,paid
133,signup,1/3/2026,android,paid
23,signup,9/10/2025,web,seo
4,activate,2/27/2025,android,seo
6,signup,6/8/2025,android,organic
190,purchase,11/19/2025,ios,referral
144,activate,5/22/2025,ios,seo
175,purchase,2/26/2025,web,seo
90,login,2/8/2025,android,organic
193,signup,4/18/2025,web,organic
106,login,8/21/2025,ios,referral
81,purchase,5/24/2025,web,seo
28,signup,8/2/2025,android,organic
75,purchase,2/12/2025,ios,paid
11,signup,2/2/2025,android,paid
19,activate,1/14/2026,web,seo
183,activate,11/27/2025,android,seo
187,login,8/24/2025,web,paid
50,login,8/23/2025,android,organic
198,login,4/28/2025,android,organic
150,login,10/26/2025,android,referral
144,activate,6/24/2025,android,seo
200,activate,8/11/2025,web,organic
198,activate,7/15/2025,ios,seo
95,purchase,1/20/2025,android,paid
77,activate,2/4/2025,ios,paid
96,signup,1/31/2025,android,referral
2,signup,7/10/2025,web,organic
175,login,8/12/2025,web,paid
20,signup,5/3/2025,android,paid
105,login,4/14/2025,ios,organic
152,signup,6/11/2025,web,seo
177,purchase,10/2/2025,web,paid
32,purchase,7/22/2025,web,paid
55,login,9/24/2025,web,seo
40,signup,12/25/2025,web,organic
56,activate,7/29/2025,android,seo
86,purchase,6/18/2025,ios,organic
180,signup,11/2/2025,web,paid
191,activate,3/8/2025,ios,referral
52,signup,9/21/2025,web,referral
126,login,5/12/2025,android,organic
104,activate,7/16/2025,web,seo
80,purchase,1/8/2026,web,paid
150,signup,8/22/2025,android,seo
13,login,7/5/2025,web,organic
25,purchase,1/10/2026,web,organic
59,activate,9/9/2025,web,seo
144,signup,4/17/2025,android,referral
75,activate,9/27/2025,ios,paid
119,login,3/5/2025,ios,paid
154,purchase,9/10/2025,ios,organic
26,login,7/29/2025,android,seo
101,activate,9/12/2025,android,seo
41,signup,6/4/2025,android,seo
121,activate,11/23/2025,android,referral
31,login,11/18/2025,android,seo
98,signup,11/27/2025,android,paid
31,login,7/13/2025,web,paid
38,activate,7/2/2025,web,paid
184,signup,11/24/2025,web,referral
155,activate,12/10/2025,android,referral
132,purchase,9/20/2025,android,referral
119,purchase,3/6/2025,web,referral
31,login,10/21/2025,web,referral
151,activate,4/24/2025,ios,seo
58,activate,6/21/2025,ios,referral
165,login,9/9/2025,android,referral
130,signup,8/20/2025,web,referral
26,activate,11/10/2025,ios,paid
8,purchase,1/5/2026,android,seo
155,login,12/20/2025,android,paid
28,signup,8/14/2025,web,seo
198,signup,10/1/2025,web,referral
87,activate,9/16/2025,ios,paid
155,login,11/23/2025,android,referral
64,login,7/26/2025,web,seo
124,login,5/20/2025,ios,paid
101,purchase,7/31/2025,web,referral
91,activate,12/27/2025,android,referral
192,signup,9/21/2025,ios,referral
132,purchase,11/12/2025,ios,referral
126,activate,2/13/2025,android,paid
154,login,11/5/2025,android,paid
29,login,1/28/2025,android,paid
153,signup,7/13/2025,ios,paid
106,activate,4/5/2025,web,referral
170,purchase,3/21/2025,web,referral
19,activate,2/17/2025,android,paid
27,signup,4/17/2025,web,paid
